,dateTime,level,seconds,start_time,end_time
165,2015-11-10T04:32:30.000,restless,120,2015-11-10 04:32:30,2015-11-10 04:34:30
166,2015-11-10T04:34:30.000,asleep,60,2015-11-10 04:34:30,2015-11-10 04:35:30
167,2015-11-10T04:35:30.000,restless,180,2015-11-10 04:35:30,2015-11-10 04:38:30
168,2015-11-10T04:38:30.000,asleep,780,2015-11-10 04:38:30,2015-11-10 04:51:30
169,2015-11-10T04:51:30.000,restless,60,2015-11-10 04:51:30,2015-11-10 04:52:30
170,2015-11-10T04:52:30.000,asleep,900,2015-11-10 04:52:30,2015-11-10 05:07:30
171,2015-11-10T05:07:30.000,restless,540,2015-11-10 05:07:30,2015-11-10 05:16:30
172,2015-11-10T05:16:30.000,asleep,180,2015-11-10 05:16:30,2015-11-10 05:19:30
173,2015-11-08T22:35:00.000,restless,180,2015-11-08 22:35:00,2015-11-08 22:38:00
174,2015-11-08T22:38:00.000,asleep,60,2015-11-08 22:38:00,2015-11-08 22:39:00
175,2015-11-08T22:39:00.000,restless,420,2015-11-08 22:39:00,2015-11-08 22:46:00
176,2015-11-08T22:46:00.000,asleep,1200,2015-11-08 22:46:00,2015-11-08 23:06:00
177,2015-11-08T23:06:00.000,restless,180,2015-11-08 23:06:00,2015-11-08 23:09:00
178,2015-11-08T23:09:00.000,awake,120,2015-11-08 23:09:00,2015-11-08 23:11:00
179,2015-11-08T23:11:00.000,asleep,1500,2015-11-08 23:11:00,2015-11-08 23:36:00
180,2015-11-08T23:36:00.000,restless,180,2015-11-08 23:36:00,2015-11-08 23:39:00
181,2015-11-08T23:39:00.000,awake,120,2015-11-08 23:39:00,2015-11-08 23:41:00
182,2015-11-08T23:41:00.000,asleep,4920,2015-11-08 23:41:00,2015-11-09 01:03:00
183,2015-11-09T01:03:00.000,restless,60,2015-11-09 01:03:00,2015-11-09 01:04:00
184,2015-11-09T01:04:00.000,asleep,720,2015-11-09 01:04:00,2015-11-09 01:16:00
185,2015-11-09T01:16:00.000,restless,240,2015-11-09 01:16:00,2015-11-09 01:20:00
186,2015-11-09T01:20:00.000,awake,120,2015-11-09 01:20:00,2015-11-09 01:22:00
187,2015-11-09T01:22:00.000,asleep,480,2015-11-09 01:22:00,2015-11-09 01:30:00
188,2015-11-09T01:30:00.000,restless,60,2015-11-09 01:30:00,2015-11-09 01:31:00
189,2015-11-09T01:31:00.000,asleep,180,2015-11-09 01:31:00,2015-11-09 01:34:00
190,2015-11-09T01:34:00.000,restless,240,2015-11-09 01:34:00,2015-11-09 01:38:00
191,2015-11-09T01:38:00.000,asleep,3240,2015-11-09 01:38:00,2015-11-09 02:32:00
192,2015-11-09T02:32:00.000,restless,60,2015-11-09 02:32:00,2015-11-09 02:33:00
193,2015-11-09T02:33:00.000,asleep,180,2015-11-09 02:33:00,2015-11-09 02:36:00
194,2015-11-09T02:36:00.000,restless,60,2015-11-09 02:36:00,2015-11-09 02:37:00
195,2015-11-09T02:37:00.000,asleep,960,2015-11-09 02:37:00,2015-11-09 02:53:00
196,2015-11-09T02:53:00.000,restless,240,2015-11-09 02:53:00,2015-11-09 02:57:00
197,2015-11-09T02:57:00.000,asleep,60,2015-11-09 02:57:00,2015-11-09 02:58:00
198,2015-11-09T02:58:00.000,restless,60,2015-11-09 02:58:00,2015-11-09 02:59:00
199,2015-11-09T02:59:00.000,asleep,360,2015-11-09 02:59:00,2015-11-09 03:05:00
200,2015-11-09T03:05:00.000,restless,60,2015-11-09 03:05:00,2015-11-09 03:06:00
201,2015-11-09T03:06:00.000,asleep,480,2015-11-09 03:06:00,2015-11-09 03:14:00
202,2015-11-09T03:14:00.000,restless,60,2015-11-09 03:14:00,2015-11-09 03:15:00
203,2015-11-09T03:15:00.000,asleep,960,2015-11-09 03:15:00,2015-11-09 03:31:00
204,2015-11-09T03:31:00.000,restless,60,2015-11-09 03:31:00,2015-11-09 03:32:00
205,2015-11-09T03:32:00.000,asleep,2580,2015-11-09 03:32:00,2015-11-09 04:15:00
206,2015-11-09T04:15:00.000,restless,120,2015-11-09 04:15:00,2015-11-09 04:17:00
207,2015-11-09T04:17:00.000,asleep,900,2015-11-09 04:17:00,2015-11-09 04:32:00
